"Molecule","Precursor_Adduct","Retention_Time","Retention_Time_Std_Dev","Molecule_List","Slope","Intercept","R_squared","LOD","LOQ"
"PS(15:0/18:1)","[M+HCOO]",14.9,0.06,"PS",4538,3335.00000000001,1,Inf,Inf
"15:0-18:1(d7) PS","[M7D+CH3COO]",14.05,0.02,"PS",40943.8669225848,-17678.5962891875,0.990809708244855,1.25,2.5
"PS(17:0/14:1(9Z))","[M-H]",13.27,0.05,"PS",1711904407.886,11307049.9763538,0.99019546681917,0.00203125,0.0203125
"15:0-18:1(d7) PS","[M7D-H]",14.82,0.1,"PS",609755.581468083,-60239.0220329095,0.986305084135487,0.25,0.5
"Cer(d18:1/25:0)","[M-H]",21.78,0.07,"SER",771128.576957812,-62615.384272997,0.959894236504627,0.1725,1.725
"Cer(d18:1/25:0)","[M+HCOO]",21.76,0.07,"SER",21454739.6426932,-114770.651136353,0.998022393944547,0.005390625,0.05390625
"d18:1-18:1(d9) SM","[M9D+HCOO]",15,0.06,"SM",10570754.6713209,-374461.486101083,0.998235302012838,0.078125,0.25
"SM(d18:1/18:1)","[M+HCOO]",18.33,3.64,"SM",10443451.3043805,-467527.435198554,0.999109387621587,0.015625,0.15625
"SM(d18:1(4E)/12:0)","[M+HCOO]",10.83,0.04,"SM",98873696.1203656,50939517.7989172,0.994973875404397,0.1015625,1.015625
"d18:1-18:1(d9) SM","[M9D+HCOO]",14.97,0.04,"SM",11651341.3074846,-93232.5315884495,0.998901636777961,0.078125,0.25
"SQDG(16:0/18:3)","[M-H]",14.75,0.02,"SQDG",554449.551189504,-30641.8226535157,0.992280813764536,0.3125,0.625
"SQDG(16:0/18:3)","[M+HCOO]",14.74,0.04,"SQDG",222044.805841124,17901.9255539086,0.97503804367479,0.078125,0.78125
