SpecId,LipidIon,ProName,ProKey,Category,Level,PeakIdx,ObsMz,ObsIty,CalcMz,Delta(ppm),MS2RT,Quant Group
5020,PS(15:0_18:1)+H,C10 H17,C10H17,C2,2,28,137.1322982,15047.26074,137.1324765,-1.29990868,14.908233,
5020,PS(15:0_18:1)+H,C11 H17,C11H17,C2,2,29,149.1330921,12552.06348,149.1324765,4.127815377,14.908233,
5020,PS(15:0_18:1)+H,C11 H19,C11H19,C2,2,30,151.1483435,10762.60449,151.1481265,1.435906539,14.908233,
5020,PS(15:0_18:1)+H,15:0+75.04,MG(R1)-OH,C01,2,39,299.2580938,22273.94336,299.2580715,0.0745507,14.908233,
5020,PS(15:0_18:1)+H,18:1+75.04,MG(R2)-OH,C01,2,42,339.2904756,17233.43555,339.2893715,3.254298473,14.908233,
5020,PS(15:0_18:1)+H,33:1+75.04,NL[PS],C0,2,47,563.5045477,255600.0781,563.5033865,2.060739531,14.908233,
5125,PS(15:0_18:1)+H,C7 H11,C7H11,C2,2,10,95.08598749,21603.91602,95.08552647,4.848397397,15.255355,
5125,PS(15:0_18:1)+H,C7 H13,C7H13,C2,2,11,97.1014494,10329.19629,97.10117647,2.810779114,15.255355,
5125,PS(15:0_18:1)+H,C8 H13,C8H13,C2,2,13,109.1016933,13999.93066,109.1011765,4.737180487,15.255355,
5125,PS(15:0_18:1)+H,C8 H15,C8H15,C2,2,14,111.1171251,6809.625977,111.1168265,2.687694413,15.255355,
5125,PS(15:0_18:1)+H,C9 H13,C9H13,C2,2,15,121.1017328,4295.26709,121.1011765,4.593879741,15.255355,
5125,PS(15:0_18:1)+H,C9 H15,C9H15,C2,2,16,123.1169412,7215.243164,123.1168265,0.931753331,15.255355,
5125,PS(15:0_18:1)+H,C10 H15,C10H15,C2,2,17,135.1168322,7787.446289,135.1168265,0.042378237,15.255355,
5125,PS(15:0_18:1)+H,15:0+75.04,MG(R1)-OH,C01,2,24,299.2590929,4454.893066,299.2580715,3.41311821,15.255355,
5125,PS(15:0_18:1)+H,33:1+75.04,NL[PS],C0,2,29,563.5029253,64316.09766,563.5033865,-0.818407318,15.255355,
,,,,,,,,,,,,
SpecId,LipidIon,ProName,ProKey,Category,Level,PeakIdx,ObsMz,ObsIty,CalcMz,Delta(ppm),MS2RT,Quant Group
4364,LBPA(15:0_18:1)+H,15:0+75.04,FA(R1)+C3O2H7-H2O,C01,2,34,299.2572945,13666.68057,299.2580715,-2.596438692,14.802856,
4364,LBPA(15:0_18:1)+H,18:1+75.04,FA(R2)+C3O2H7-H2O,C01,2,35,339.2900545,26490.50194,339.2893715,2.013105264,14.802856,
4364,LBPA(15:0_18:1)+H,33:1+75.04,DG(R1_R2)-OH,C2,2,36,563.5034661,185452.3544,563.5033865,0.141237883,14.802856,
4989,LBPA(15:0_18:1)+H,15:0+75.04,FA(R1)+C3O2H7-H2O,C01,2,34,299.2572945,4547.07373,299.2580715,-2.596438692,14.802846,
4989,LBPA(15:0_18:1)+H,18:1+75.04,FA(R2)+C3O2H7-H2O,C01,2,35,339.2900545,8813.717773,339.2893715,2.013105264,14.802846,
4989,LBPA(15:0_18:1)+H,33:1+75.04,DG(R1_R2)-OH,C2,2,36,563.5034661,61702.29297,563.5033865,0.141237883,14.802846,
,,,,,,,,,,,,
SpecId,LipidIon,ProName,ProKey,Category,Level,PeakIdx,ObsMz,ObsIty,CalcMz,Delta(ppm),MS2RT,Quant Group
4388,PG(15:0_18:1)+NH4,C7 H13,C7H13,C2,2,10,97.10160334,140779.1479,97.10117647,4.396130609,14.797422,
4388,PG(15:0_18:1)+NH4,C8 H13,C8H13,C2,2,12,109.1015577,244430.763,109.1011765,3.494217692,14.797422,
4388,PG(15:0_18:1)+NH4,C8 H15,C8H15,C2,2,13,111.1171384,92513.40984,111.1168265,2.80711879,14.797422,
