Molecule List Name,Molecule,Molecule Formula,Precursor Mz,Precursor Adduct,Precursor Neutral Mass,Mean Best Retention Time,Stdev Best Retention Time,Cv Total Area,Allium_Ursinum_OE11-E4-P14NEG Sum Total Area,Auricularia_Polytricha_OE21-4-F7NEG Sum Total Area,Blastobotrys_Sp_LG1401_ESA_OE21-4-E8F45NEG Sum Total Area,Craterellus_Cornucopioides_OE21-4-F12NEG Sum Total Area,Equisetum_Arvense_OE11-E4-P11NEG Sum Total Area,Ginko_biloba_OE11-3-E4-P27NEG Sum Total Area,Labilithrix_luteola_1B3R5D0E2N Sum Total Area,Paenibacillus_Alginolyticus_2B2R5DOE2N Sum Total Area,Rhodococcus_Sp_OE11-3-E4-A1NEG Sum Total Area,Thallasiosira_weissflogii_P42NEG Sum Total Area,Ulva_P56NEG Sum Total Area,Valonia_P52NEG Sum Total Area
FA,FA(24:0)+COOH:(s),C24H46O4,397.332334,[M-H],398.33961,7.98,0.01,124.3%,3049333,#N/A,#N/A,#N/A,1449012,7149497,#N/A,#N/A,170728,9845,#N/A,#N/A
PE,PE(18:1),C23H44N1O8P1,492.273179,[M-H],493.280455,1.71,0.05,139.7%,2701977,18537852,24174472,22654172,90308,329347,5518,#N/A,#N/A,0,560805,#N/A
PG,PG(O-16:2_15:1),C37H69O9P1,687.460645,[M-H],688.467921,8.98,0.08,260%,2700409,89324,79177,0,49592040,961872,#N/A,#N/A,6638,#N/A,#N/A,0
CL,CL(18:2_18:2_18:3),C63H110O16P2,1183.719636,[M-H],1184.726912,16.17,0.03,98.7%,2623309,#N/A,#N/A,#N/A,1907135,2902507,#N/A,#N/A,#N/A,83497,438682,8676
FA,FA(23:1),C23H44O2,351.326855,[M-H],352.334131,9.01,0.03,139.3%,2586750,#N/A,#N/A,#N/A,19884,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
MGDG,MGDG(16:0_16:1),C41H76O10,773.542052,[M+HCOO],728.543849,15.1,0.08,294.9%,2476910,0,42213,#N/A,29835,385382,3384,#N/A,#N/A,371279264,2252018,552280
FA,FA(22:2)+2O:(s),C22H40O4,367.285384,[M-H],368.29266,6.32,0.02,113.4%,2407174,#N/A,6049,#N/A,1547573,1721305,0,#N/A,#N/A,#N/A,#N/A,2281
SQDG,SQDG(18:3_16:1),C43H74O12S1,813.482823,[M-H],814.490099,9.5,0.06,159.5%,2370714,#N/A,#N/A,0,8231073,1773653,#N/A,#N/A,#N/A,889024,795517,24298904
PG,PG(15:0_18:2),C39H73O10P1,731.48686,[M-H],732.494136,11.18,0.05,138.4%,2335214,#N/A,#N/A,1292058,15205,480470,#N/A,0,#N/A,#N/A,0,#N/A
PG,PG(18:1_18:1),C42H79O10P1,773.53381,[M-H],774.541086,15.08,0.03,152.1%,2328703,13100927,299747,#N/A,33336,5552,#N/A,#N/A,9658,13166908,#N/A,1614525
