Molecule List Name,Molecule,Molecule Formula,Precursor Mz,Precursor Adduct,Precursor Neutral Mass,Mean Best Retention Time,Stdev Best Retention Time,Cv Total Area,Allium_Ursinum_OE11-E4-P14POS Sum Total Area,Auricularia_Polytricha_OE21-4-F7POS Sum Total Area,Trichomonascus_vanleenenianus_OE21-4-E8F45POS Sum Total Area,Craterellus_Cornucopioides_OE21-4-F12POS Sum Total Area,Equisetum_Arvense_OE11-E4-P11POS Sum Total Area,Ginkgo_biloba_OE11-3-E4-P27POS Sum Total Area,Labilithrix_luteola_1B3R5D0E2 Sum Total Area,Paenibacillus_Alginolyticus_2B2R5DOE2 Sum Total Area,Rhodococcus_Sp_OE11-3-E4-A1POS Sum Total Area,Thalassiosira_weissflogii_P42POS Sum Total Area,Ulva_P56POS_20240924144544 Sum Total Area,Valonia_P52POS_20240924210008 Sum Total Area
TG,TG(36:4_17:1)+O:(s),C56H98O7,900.765081,[M+NH4],882.731256,21.9,0.02,105.50%,#N/A,#N/A,3279,293193,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,26634,215966
TG,TG(18:1_17:0_18:2)+OO:(s),C56H102O8,925.746691,[M+Na],902.757471,19.18,0.06,139.10%,#N/A,1545180,725008,0,#N/A,#N/A,#N/A,0,#N/A,415809,0,179668
TG,TG(16:0_18:2_18:2)+OO:(s),C55H98O8,904.759996,[M+NH4],886.72617,18.36,0.07,214.90%,#N/A,1095191,1450272,82780432,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,121897,0
TG,TG(36:4_16:0)+OO:(s),C55H98O8,904.759996,[M+NH4],886.72617,20.3,0.08,198.40%,#N/A,#N/A,362351872,#N/A,#N/A,#N/A,#N/A,36720,#N/A,#N/A,1653807,553942
TG,TG(39:5_16:3)+O:(s),C58H96O7,905.722882,[M+H],904.715606,20.84,0.03,206.10%,#N/A,12041043,#N/A,0,#N/A,#N/A,0,0,#N/A,#N/A,#N/A,826254
TG,TG(52:3)+OO:(s),C55H100O8,906.775646,[M+NH4],888.741821,20.86,0.04,213.90%,#N/A,141358,188955440,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,6776168,0
TG,TG(18:0_16:0_18:3)+OO:(s),C55H100O8,906.775646,[M+NH4],888.741821,20.88,0.06,191.60%,#N/A,#N/A,149306416,0,#N/A,#N/A,0,#N/A,#N/A,#N/A,4920735,#N/A
TG,TG(36:2_16:0)+OO:(s),C55H102O8,908.791296,[M+NH4],890.757471,20.07,0.06,199.70%,#N/A,80200176,5705806,1072244,#N/A,#N/A,12953,#N/A,#N/A,#N/A,845082,#N/A
TG,TG(18:2_18:1_18:2)+OO:(s),C57H100O8,930.775646,[M+NH4],912.741821,19.97,0.04,151%,#N/A,125706,#N/A,47829360,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,11535509,281335
TG,TG(18:3_18:0_18:2)+OO:(s),C57H100O8,930.775646,[M+NH4],912.741821,20.51,0.08,151.70%,#N/A,6215729,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,575377,#N/A
TG,TG(36:3_18:2)+OO:(s),C57H100O8,930.775646,[M+NH4],912.741821,20.69,0.06,219%,#N/A,243742,#N/A,121132896,#N/A,#N/A,#N/A,0,#N/A,#N/A,879643,919442
TG,TG(18:1_18:1_18:1)+O:(s),C57H104O7,918.812032,[M+NH4],900.778206,21.61,0.03,199.90%,#N/A,#N/A,#N/A,1406499968,#N/A,#N/A,0,#N/A,#N/A,23898,242993,#N/A
TG,TG(18:0_18:1_18:2)+O:(s),C57H104O7,918.812032,[M+NH4],900.778206,22.52,0.05,196.40%,#N/A,1323393,#N/A,103052920,#N/A,#N/A,#N/A,#N/A,#N/A,78322,5320,#N/A
TG,TG(18:2_18:2_21:2),C60H104O6,943.772512,[M+Na],920.783291,18.87,0.06,159.90%,#N/A,5281034,#N/A,1920326,#N/A,#N/A,#N/A,0,#N/A,#N/A,0,89
TG,TG(O-61:10),C64H106O5,972.837852,[M+NH4],954.804027,24.46,0.01,38.90%,#N/A,109210,192034,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
TG,TG(34:1_25:5)+O:(s),C62H108O7,987.798727,[M+Na],964.809506,18.97,0.06,152.30%,#N/A,21640480,2929227,2819247,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1851449,0
TG,TG(34:1_28:5)+O:(s),C65H114O7,1007.863732,[M+H],1006.856456,21.34,0.06,141.40%,#N/A,8214242,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
TG,TG(58:12_18:2),C79H126O6,1188.989268,[M+NH4],1170.955442,17.99,#N/A,#N/A,#N/A,59151160,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
TG,TG(79:16),C82H128O6,1227.004918,[M+NH4],1208.971092,21.02,0.09,123.70%,#N/A,#N/A,263040,3925162,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
